,Metabolite,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control,Heated,ratio,significance.names(splitnn),Pvalues,stars
1,Cer(d18:0/16:0).M,0.273913976,5.87E-01,1.88E+05,690401.91,502470.45,1.374015,Cer(d18:0/16:0).M,0.273913976,NA
2,Cer(d18:1/16:0).M,0.3325347,5.42E-01,1.28E+05,478127.64,349950.93,1.3662705,Cer(d18:1/16:0).M,0.3325347,NA
3,CoQ10.M,0.206878048,8.22E-01,3.76E+05,2082696.23,1706264.41,1.2206175,CoQ10.M,0.206878048,NA
4,CoQ8.M,0.151618873,1.01E+00,2.18E+05,681446.14,463499.75,1.470219,CoQ8.M,0.151618873,NA
5,CoQ9.M,0.098543625,9.97E-01,3.09E+05,819440.69,510695.68,1.6045577,CoQ9.M,0.098543625,NA
6,DG(16:0/17:0/0:0).M,0.560477722,-2.80E-01,-3.73E+04,292621.25,329960.27,0.8868378,DG(16:0/17:0/0:0).M,0.560477722,NA
7,DG(16:0/18:1/0:0).M,0.144799323,6.83E-01,1.74E+05,824187.15,650097.59,1.2677899,DG(16:0/18:1/0:0).M,0.144799323,NA
8,DG(16:0/18:2/0:0).M,0.036385509,1.25E+00,3.74E+05,788812.59,414855.18,1.9014168,DG(16:0/18:2/0:0).M,0.036385509,*
9,DG(16:1/18:1/0:0)_A.M,0.036385509,1.25E+00,3.74E+05,788812.59,414855.18,1.9014168,DG(16:1/18:1/0:0)_A.M,0.036385509,*
10,DG(16:1/18:1/0:0)_B.M,0.057190832,1.07E+00,1.38E+05,455096.21,317457.55,1.4335655,DG(16:1/18:1/0:0)_B.M,0.057190832,NA
11,DG(17:0/0:0/17:0).M,0.723772063,1.95E-01,1.49E+04,255497.02,240616.66,1.0618426,DG(17:0/0:0/17:0).M,0.723772063,NA
12,DG(18:1/0:0/18:1).M,0.288138586,5.50E-01,4.68E+05,2008888.1,1541147.8,1.3035013,DG(18:1/0:0/18:1).M,0.288138586,NA
13,DG(18:1/18:2/0:0).M,0.066424584,8.95E-01,3.20E+05,1082435.55,762415.38,1.4197452,DG(18:1/18:2/0:0).M,0.066424584,NA
14,DG(18:2/0:0/18:2).M,0.006313595,1.40E+00,3.63E+05,856624.23,493335.94,1.7363913,DG(18:2/0:0/18:2).M,0.006313595,**
15,DGDG(14:0/18:1);DGDG(15:0/17:1).M,0.934318762,-3.90E-02,-1.03E+04,815625.02,825938.07,0.9875135,DGDG(14:0/18:1);DGDG(15:0/17:1).M,0.934318762,NA
16,DGDG(15:0/15:0).M,0.50460898,-3.01E-01,-4.74E+04,375890.64,423328.47,0.8879409,DGDG(15:0/15:0).M,0.50460898,NA
17,DGDG(15:0/16:1).M,0.773096117,1.60E-01,1.50E+04,250710.59,235718.53,1.0636015,DGDG(15:0/16:1).M,0.773096117,NA
18,DGDG(15:0/17:0).M,0.168141808,-6.37E-01,-2.48E+05,717704.49,965334.86,0.7434772,DGDG(15:0/17:0).M,0.168141808,NA
19,DGDG(15:0/18:1).M,0.331614096,-4.57E-01,-7.09E+04,306879.24,377752.21,0.8123824,DGDG(15:0/18:1).M,0.331614096,NA
20,DGDG(15:0/19:1).M,0.051489244,-8.45E-01,-1.99E+05,354790.4,553387.54,0.6411247,DGDG(15:0/19:1).M,0.051489244,NA
21,DGDG(18:1/18:1).M,0.002444773,1.61E+00,1.86E+05,424250.14,237910.15,1.7832368,DGDG(18:1/18:1).M,0.002444773,**
22,DGDG(18:1/19:1).M,0.002000392,1.47E+00,1.41E+05,306643.29,165322.69,1.8548167,DGDG(18:1/19:1).M,0.002000392,**
23,DGDG(19:1/19:1).M,0.040599069,1.04E+00,1.50E+06,5448681.25,3951662.94,1.3788325,DGDG(19:1/19:1).M,0.040599069,*
24,DGTSA(14:0/18:3).M,0.001143276,1.80E+00,6.03E+04,76696.43,16374.64,4.6838555,DGTSA(14:0/18:3).M,0.001143276,**
25,DGTSA(15:0/17:0).M,0.614167731,2.85E-01,5.99E+04,698969.64,639110.83,1.0936595,DGTSA(15:0/17:0).M,0.614167731,NA
26,DGTSA(16:0/16:1)_A.M,0.543341829,3.61E-01,1.44E+05,1133263.95,989656.06,1.1451089,DGTSA(16:0/16:1)_A.M,0.543341829,NA
27,DGTSA(16:0/16:1)_B.M,0.147669805,8.21E-01,1.66E+06,6228127.42,4564079.25,1.3645967,DGTSA(16:0/16:1)_B.M,0.147669805,NA
28,DGTSA(16:0/16:2).M,0.019510071,1.33E+00,4.84E+04,101805.74,53401.14,1.9064339,DGTSA(16:0/16:2).M,0.019510071,*
29,DGTSA(16:0/18:1).M,0.176549194,7.57E-01,9.45E+05,3934657.46,2989672.6,1.3160831,DGTSA(16:0/18:1).M,0.176549194,NA
30,DGTSA(16:0/18:2).M,0.841795002,1.10E-01,5.21E+05,7954689.89,7433457.6,1.0701198,DGTSA(16:0/18:2).M,0.841795002,NA
31,DGTSA(16:0/18:3)_A.M,0.015368116,1.34E+00,2.30E+05,370091.01,139619.78,2.6507061,DGTSA(16:0/18:3)_A.M,0.015368116,*
32,DGTSA(16:0/18:3)_B.M,0.341888679,6.83E-01,1.01E+06,1202091.88,190157.49,6.3215595,DGTSA(16:0/18:3)_B.M,0.341888679,NA
33,DGTSA(16:0/18:4).M,0.456927851,4.89E-01,5.64E+04,132424.86,76049.49,1.7412984,DGTSA(16:0/18:4).M,0.456927851,NA
34,DGTSA(16:0/19:1);DGTSA(16:1/19:0).M,0.2789274,6.09E-01,1.37E+05,670133.64,532821.35,1.2577079,DGTSA(16:0/19:1);DGTSA(16:1/19:0).M,0.2789274,NA
35,DGTSA(16:1/16:1).M,0.040919644,1.21E+00,6.91E+05,1752674.48,1061986.05,1.6503743,DGTSA(16:1/16:1).M,0.040919644,*
36,DGTSA(16:1/18:1)_A.M,0.040244604,1.26E+00,8.83E+05,2105736.23,1222700.02,1.7222018,DGTSA(16:1/18:1)_A.M,0.040244604,*
37,DGTSA(16:1/18:1)_B.M,0.158803644,6.73E-01,1.63E+05,511331.92,348345.89,1.4678856,DGTSA(16:1/18:1)_B.M,0.158803644,NA
38,DGTSA(16:1/18:2).M,0.256510414,7.65E-01,2.83E+05,512037,228781.28,2.2381071,DGTSA(16:1/18:2).M,0.256510414,NA
39,DGTSA(17:0/17:0).M,0.369990872,5.30E-01,3.66E+05,2097422.31,1731370.31,1.2114233,DGTSA(17:0/17:0).M,0.369990872,NA
40,DGTSA(17:0/19:0).M,0.89852221,6.79E-02,3.39E+04,1237889.32,1203960.91,1.0281807,DGTSA(17:0/19:0).M,0.89852221,NA
41,DGTSA(18:0/18:1).M,0.295234454,7.06E-01,2.19E+05,853427.84,633952.21,1.3462022,DGTSA(18:0/18:1).M,0.295234454,NA
42,DGTSA(18:0/18:2);DGTSA(18:1/18:1).M,0.253804615,7.09E-01,6.02E+05,1507512.42,905288.43,1.6652289,DGTSA(18:0/18:2);DGTSA(18:1/18:1).M,0.253804615,NA
43,DGTSA(18:1/18:1).M,0.675144307,2.98E-01,8.13E+05,7680510.83,6867575.85,1.1183729,DGTSA(18:1/18:1).M,0.675144307,NA
44,DGTSA(18:1/18:2).M,0.142198025,8.93E-01,5.82E+05,1242488.37,660312.74,1.8816665,DGTSA(18:1/18:2).M,0.142198025,NA
45,DGTSA(35:0).M,0.777422444,-1.59E-01,-9.37E+04,1410211.92,1503891.09,0.9377088,DGTSA(35:0).M,0.777422444,NA
46,HexCer(d18:2/16:1)_A.M,0.253296872,7.01E-01,8.98E+04,412742.09,322893.1,1.2782623,HexCer(d18:2/16:1)_A.M,0.253296872,NA
47,HexCer(d18:2/16:1)_B.M,0.591968663,3.08E-01,2.12E+04,234337.98,213090.52,1.099711,HexCer(d18:2/16:1)_B.M,0.591968663,NA
48,HexCer(d18:2/18:1).M,0.783258272,-1.48E-01,-3.15E+04,226220.25,257701.48,0.8778384,HexCer(d18:2/18:1).M,0.783258272,NA
49,HexCer(d34:3).M,0.051713028,1.19E+00,3.14E+05,561889.23,247490.67,2.2703451,HexCer(d34:3).M,0.051713028,NA
50,PC(0:0/18:1).M,0.540573598,3.73E-01,7.58E+04,271827.54,196052.92,1.3865008,PC(0:0/18:1).M,0.540573598,NA
51,PC(15:0/16:1).M,0.510951509,3.71E-01,1.15E+05,692816.19,577547.05,1.199584,PC(15:0/16:1).M,0.510951509,NA
52,PC(16:0/18:2).M,0.071698107,1.11E+00,1.20E+06,2651229.79,1451848.18,1.8261068,PC(16:0/18:2).M,0.071698107,NA
53,PC(16:1/16:1).M,0.249291216,7.25E-01,2.36E+05,762733.05,527098.52,1.4470408,PC(16:1/16:1).M,0.249291216,NA
54,PC(16:1/18:1).M,0.241029936,7.25E-01,1.07E+06,3757349.62,2691130.9,1.3961973,PC(16:1/18:1).M,0.241029936,NA
55,PC(17:1/19:1).M,0.677306497,2.38E-01,1.29E+06,12688585.17,11394615.7,1.1135597,PC(17:1/19:1).M,0.677306497,NA
56,PC(18:1/18:1)_A.M,0.59544405,2.40E-01,5.13E+04,475027.32,423734.39,1.1210497,PC(18:1/18:1)_A.M,0.59544405,NA
57,PC(18:1/18:1)_B.M,0.740356315,1.58E-01,1.99E+04,237711.56,217766.19,1.0915908,PC(18:1/18:1)_B.M,0.740356315,NA
58,PC(18:1/18:2)_A.M,0.121455919,1.04E+00,1.36E+06,2695473.44,1338422.43,2.0139183,PC(18:1/18:2)_A.M,0.121455919,NA
59,PC(18:1/18:2)_B.M,0.423717505,-3.42E-01,-1.07E+06,3069072.92,4142045.2,0.7409559,PC(18:1/18:2)_B.M,0.423717505,NA
60,PC(18:1/19:1).M,0.166399089,7.17E-01,2.01E+06,8024640.25,6010146.03,1.3351822,PC(18:1/19:1).M,0.166399089,NA
61,PC(18:1/20:4).M,0.147062092,9.13E-01,1.48E+05,428652.48,281109.33,1.5248604,PC(18:1/20:4).M,0.147062092,NA
62,PC(18:2/18:2).M,0.01616389,1.43E+00,2.59E+06,4347995.92,1757896.96,2.4734077,PC(18:2/18:2).M,0.01616389,*
63,PC(19:1/0:0).M,0.982903517,-1.14E-02,-3.04E+03,290281.62,293322.88,0.9896317,PC(19:1/0:0).M,0.982903517,NA
64,PC(19:1/19:1).M,0.585805237,2.76E-01,3.34E+06,38966666.67,35630000,1.0936477,PC(19:1/19:1).M,0.585805237,NA
65,PC(20:4/20:4).M,0.591485775,3.32E-01,2.63E+04,186091.48,159829.23,1.1643144,PC(20:4/20:4).M,0.591485775,NA
66,PE(13:0/15:0).M,0.430415971,4.57E-01,1.30E+05,411832.28,281535.14,1.4628095,PE(13:0/15:0).M,0.430415971,NA
67,PE(14:0/16:1);PE(15:0/15:1)_A.M,0.978408355,1.45E-02,1.54E+04,1442097.22,1426665.6,1.0108166,PE(14:0/16:1);PE(15:0/15:1)_A.M,0.978408355,NA
68,PE(14:0/16:1);PE(15:0/15:1)_B.M,0.586120355,2.88E-01,2.98E+05,1406663.6,1108775.3,1.2686643,PE(14:0/16:1);PE(15:0/15:1)_B.M,0.586120355,NA
69,PE(14:1/15:0);PE(13:0/16:1).M,0.51578269,3.75E-01,5.85E+04,223083.85,164629.74,1.3550641,PE(14:1/15:0);PE(13:0/16:1).M,0.51578269,NA
70,PE(15:0/15:0).M,0.762784953,-1.57E-01,-2.79E+05,3273296.65,3552257.51,0.9214694,PE(15:0/15:0).M,0.762784953,NA
71,PE(15:0/16:0).M,0.331546268,5.64E-01,4.66E+05,1490626.84,1024426.68,1.455084,PE(15:0/16:0).M,0.331546268,NA
72,PE(15:0/16:1)_A.M,0.488226429,3.83E-01,2.31E+06,10883583.08,8574937.82,1.2692317,PE(15:0/16:1)_A.M,0.488226429,NA
73,PE(15:0/16:1)_B.M,0.362751875,4.65E-01,3.13E+05,1190394.79,877588.91,1.3564378,PE(15:0/16:1)_B.M,0.362751875,NA
74,PE(15:0/17:0).M,0.910455931,5.64E-02,1.39E+05,3486328.92,3347583.08,1.0414466,PE(15:0/17:0).M,0.910455931,NA
75,PE(15:0/17:1).M,0.843353292,1.05E-01,3.87E+05,5898201.71,5510919.45,1.0702754,PE(15:0/17:1).M,0.843353292,NA
76,PE(15:0/17:1);PE(16:0/16:1).M,0.358478865,5.28E-01,1.42E+06,4783727.83,3361228.99,1.423208,PE(15:0/17:1);PE(16:0/16:1).M,0.358478865,NA
77,PE(15:0/18:0);PE(16:0/17:0).M,0.521071273,-3.19E-01,-3.11E+05,757731.75,1068858.87,0.7089166,PE(15:0/18:0);PE(16:0/17:0).M,0.521071273,NA
78,PE(15:1/16:1)_A.M,0.561243789,3.49E-01,9.45E+04,454104.89,359622.33,1.2627272,PE(15:1/16:1)_A.M,0.561243789,NA
79,PE(15:1/16:1)_B.M,0.204538807,7.52E-01,1.45E+05,323088.67,178309.46,1.8119547,PE(15:1/16:1)_B.M,0.204538807,NA
80,PE(15:1/17:1).M,0.970967058,2.24E-02,1.37E+04,831730.86,818042.93,1.0167325,PE(15:1/17:1).M,0.970967058,NA
81,PE(16:0/17:0).M,0.891634418,-7.41E-02,-3.87E+04,746681.06,785429.21,0.9506663,PE(16:0/17:0).M,0.891634418,NA
82,PE(16:0/17:1).M,0.470046013,4.39E-01,1.29E+06,4432957.12,3147135.88,1.4085687,PE(16:0/17:1).M,0.470046013,NA
83,PE(16:0/18:1);PE(15:0/19:1).M,0.254128419,6.36E-01,1.03E+06,3295706.96,2268454.21,1.4528426,PE(16:0/18:1);PE(15:0/19:1).M,0.254128419,NA
84,PE(16:0/18:2);PE(16:1/18:1).M,0.093851897,8.85E-01,1.35E+06,2962294.71,1616199.93,1.8328764,PE(16:0/18:2);PE(16:1/18:1).M,0.093851897,NA
85,PE(16:0/19:1).M,0.90040345,6.62E-02,1.04E+05,2456710.79,2352527.35,1.0442858,PE(16:0/19:1).M,0.90040345,NA
86,PE(16:1/16:1).M,0.283305999,6.15E-01,2.11E+06,6803458.83,4692029.35,1.4500035,PE(16:1/16:1).M,0.283305999,NA
