Metabolite,M_C_4_AB,M_C_7_AB,M_C_12_AB,M_C_14_AB,M_C_19_AB,M_C_30_AB,M_H_2_AB,M_H_2B,M_H_4_AB,M_H_11_AB,M_H_17_AB,M_H_26_AB,M_H_28_AB,M_H_30_AB,M_H_32_AB,M_H_34_AB,O_C_4_AB,O_C_12_AB,O_C_14_AB,O_C_19_AB,O_C_27_AB,O_C_34_AB,O_H_2_AB,O_H_4_AB,O_H_11_AB,O_H_17_AB,O_H_32_AB
"1,3-dihydroxyacetone",201558.1224,230863.3726,310909.975,245659.1604,232123.1467,264868.2898,132565.8921,175407.9927,207265.6385,200195.1865,11486398.85,331945.0792,186790.8434,373936.3562,300905.0748,371204.0897,313388.4005,411931.8243,246935.7899,270366.903,624569.8594,327319.9731,233960.1673,222957.7059,186341.8143,234212.5853,177300.8753
"1,4-D-xylobiose ",92632.29307,59878.8431,444064.6729,204729.0512,140847.5343,226858.2033,77650.66634,68907.67376,87523.19559,122632.199,71585.2564,124406.9329,49584.19398,357178.4717,370081.796,46574.97368,161702.9582,501460.9579,119733.0143,338959.9635,247569.7787,310476.9568,139770.791,181227.1114,53837.27814,166420.5444,33521.08606
2-furoic acid,0,20244.86772,368618.6866,290832.0431,346959.5516,362864.0531,190631.4418,22918.10535,419948.5162,136766.6731,208463.4847,275125.1495,356263.8678,444348.1521,37180.55171,359615.872,216406.1996,290985.8868,164079.9,27451.73236,250931.9346,226323.6038,143294.0934,167878.7766,12033.36465,10321.08601,141094.8517
2-hydroxypyridine,848669.0711,1503773.769,1530763.41,1166233.199,1366151.363,1244331.733,1088860.717,2088375.451,1089495.383,1016476.222,1145739.349,1217879.344,1069384.589,1578411.265,1171210.816,1377519.98,1267011.054,2058137.272,857639.3032,1564931.537,1273704.629,1205659.174,1572751.26,1247938.855,1663712.831,986499.7252,1165535.337
3-amino-2-piperidone*,338073.0158,330988.6914,723426.0926,1008494.024,735189.5864,708869.6676,338854.8933,586736.4186,271465.4674,594404.1373,239338.9719,228917.2704,179462.3593,206234.841,392354.384,306326.9283,7166777.682,14202079.92,4490234.216,1934624.81,5710184.789,5986927.464,4191278.306,3139169.475,1357579.158,1841770.588,1167193.625
3-hydroxybutyric acid,665167.9879,968540.968,1950630.768,1364056.892,645910.9663,1745759.09,523484.9606,492646.1411,491344.6066,484619.4829,1347377.801,885926.6622,1517861.993,1634422.881,1299326.531,2993634.735,654375.2734,452154.6213,803181.9858,672468.1712,550734.5071,1259458.159,387054.819,544096.2038,316679.0602,413058.7912,468887.3811
4-aminobutyric acid (GABA),1219404.691,9283552.658,4657182.469,4822063.866,4692235.042,3085062.223,629202.452,1072926.28,2002605.011,3365820.525,1738429.009,0,991899.086,2202431.431,4814623.991,1817006.116,18276546.29,28283192.04,26770327.96,18309290.93,16636634.93,11400763.42,10788979.77,14357431.63,10690717.18,6293252.568,1923468.54
adenosine,597430.5799,2618724.938,986353.5821,1479949.189,874531.5014,1078726.695,1835680.093,1057495.899,771983.7201,1501351.892,1954308.165,1421324.761,2240124.288,1481244.872,1718898.407,4543631.107,700306.9624,288475.0273,611427.679,653705.5262,451518.4973,1051869.939,794504.1859,1041657.317,630165.1619,1367511.187,57984.64882
allantoin,1503819.032,550998.2888,6396.947134,2210454.915,22046,93163.241,14199.3212,589931.8066,915507.7596,2369091.663,676963.7103,483432.0998,45292.34304,27870,8849.445003,1244739.093,12636166.36,10877713.49,3046188.245,7266656.204,3009841.172,14321494.31,6961787.962,6299574.882,2915223.538,18380042.24,1755759.469
arbutin,610194.304,0,190004.3996,3361765.768,3250395.943,3068598.217,0,1739594.831,0,249393.7595,0,4559998.402,0,998520.8357,401385.0997,5327529.205,1460283.22,1313422.719,2125967.011,4871845.787,16196.79185,2867365.101,49558.3161,414079.1899,0,0,0
