"","Metabolite","metabplot",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","meanC","st.devC","meanH","st.devH","Horizon","foldchange","log2foldchange","KEGG","Class","Subclass_1","Subclass_2","Subclass_3","Subclass_4","meancountdifference","p.category","legend"
"1","1,3-dihydroxyacetone","1,3-dihydroxyacetone_M","count","M_C","M_H",6,10,-0.880855725292295,9.39272585994338,0.4,0.4,"ns",12.4107300308295,0.146542284178035,12.7696552590272,1.27458000707086,"Mineral",0.971892332179922,-0.041131596317345,"C00184","Carbohydrates","Monosaccharides","Ketoses","none","none",0.358925228197654,"ns","H=C"
"2","1,3-dihydroxyacetone","1,3-dihydroxyacetone_O","count","O_C","O_H",6,5,3.38221230086292,6.73723083839415,0.012,0.012,"*",12.7586238646996,0.336642453363509,12.2525146948783,0.132356651181245,"Organic",1.04130655481139,0.058394852498594,"C00184","Carbohydrates","Monosaccharides","Ketoses","none","none",-0.506109169821315,"*","H>C"
"3","1,4-D-xylobiose","1,4-D-xylobiose_M","count","M_C","M_H",6,10,1.13139912866483,10.9553655262037,0.282,0.282,"ns",11.9761926424722,0.707867060415558,11.5574774096876,0.731103172746979,"Mineral",1.03622894667599,0.0513427904209631,"C01630","Carbohydrates","Oligosaccharides","Disaccharides","none","none",-0.418715232784569,"ns","H=C"
"4","1,4-D-xylobiose","1,4-D-xylobiose_O","count","O_C","O_H",6,5,2.44525909043575,6.9204280980125,0.045,0.045,"*",12.4351280659711,0.520734239093279,11.4582371893412,0.756338054240623,"Organic",1.0852566464184,0.118036258089996,"C01630","Carbohydrates","Oligosaccharides","Disaccharides","none","none",-0.976890876629874,"*","H>C"
"5","2-furoic acid","2-furoic acid_M","count","M_C","M_H",6,10,-0.92078278390865,5.24476700215287,0.398,0.398,"ns",10.145405203918,5.09761708853151,12.0848328912633,1.02699320605404,"Mineral",0.839515556003475,-0.252371036715956,"C01546",NA,NA,NA,NA,NA,1.93942768734532,"ns","H=C"
"6","2-furoic acid","2-furoic acid_O","count","O_C","O_H",6,5,1.49643228810872,6.42327964775252,0.182,0.182,"ns",11.9761509714653,0.880827364767168,10.8796370585775,1.42761370242344,"Organic",1.10078589083294,0.138533883732051,"C01546",NA,NA,NA,NA,NA,-1.09651391288783,"ns","H=C"
"7","2-hydroxypyridine","2-hydroxypyridine_M","count","M_C","M_H",6,10,-0.00162054790983836,10.8364975034472,0.999,0.999,"ns",14.0411827656322,0.218107873812637,14.0413666120261,0.222299970933299,"Mineral",0.999986906801948,-1.8889615561982e-05,"C02502",NA,NA,NA,NA,NA,0.000183846393971621,"ns","H=C"
"8","2-hydroxypyridine","2-hydroxypyridine_O","count","O_C","O_H",6,5,0.102449203342917,8.923211001029,0.921,0.921,"ns",14.0957919626512,0.290969181283185,14.0801025205562,0.216130264985556,"Organic",1.00111429885344,0.00160669842498234,"C02502",NA,NA,NA,NA,NA,-0.0156894420950433,"ns","H=C"
"9","3-amino-2-piperidone*","3-amino-2-piperidone*_M","count","M_C","M_H",6,10,2.84266507796704,9.75211758748897,0.018,0.018,"*",13.2893152424797,0.459404110380766,12.639613037516,0.413056067762615,"Mineral",1.05140206452803,0.0723144728942446,NA,NA,NA,NA,NA,NA,-0.649702204963752,"*","H>C"
"10","3-amino-2-piperidone*","3-amino-2-piperidone*_O","count","O_C","O_H",6,5,2.74648990793866,8.99285007814244,0.023,0.023,"*",15.5349259947423,0.649634580271716,14.545109951432,0.545644939894578,"Organic",1.0680514651739,0.0949811664657817,NA,NA,NA,NA,NA,NA,-0.989816043310348,"*","H>C"
"11","3-hydroxybutyric acid","3-hydroxybutyric acid_M","count","M_C","M_H",6,10,0.512703278041414,13.1587858994809,0.617,0.617,"ns",13.9253492275843,0.477324458633002,13.7808860413543,0.643582857136758,"Mineral",1.01048286632633,0.0150448596933114,"C01089","Organic acids","Carboxylic acids","Hydroxycarboxylic acids","none","none",-0.144463186229963,"ns","H=C"
"12","3-hydroxybutyric acid","3-hydroxybutyric acid_O","count","O_C","O_H",6,5,2.96083763709953,8.17834696086404,0.018,0.018,"*",13.4489106100571,0.351565065469319,12.9456619564535,0.20358745294944,"Organic",1.03887392203631,0.0550205790835481,"C01089","Organic acids","Carboxylic acids","Hydroxycarboxylic acids","none","none",-0.503248653603624,"*","H>C"
"13","4-aminobutyric acid (GABA)","4-aminobutyric acid (GABA)_M","count","M_C","M_H",6,10,1.52393289167996,9.63730130993655,0.16,0.16,"ns",15.1839606813499,0.673670036441064,12.9358059972001,4.58330789535317,"Mineral",1.17379316639693,0.231178214153096,"C00334","Lipids","Fatty acyls","Fatty Acids and Conjugates","Amino fatty acids","none",-2.24815468414977,"ns","H=C"
"14","4-aminobutyric acid (GABA)","4-aminobutyric acid (GABA)_O","count","O_C","O_H",6,5,2.52694094416155,5.15967688542497,0.051,0.051,"ns",16.7634899787515,0.333808066427195,15.7966659957549,0.799426091955737,"Organic",1.0612043062287,0.0857024349594773,"C00334","Lipids","Fatty acyls","Fatty Acids and Conjugates","Amino fatty acids","none",-0.966823982996624,"ns","H=C"
"15","adenosine","adenosine_M","count","M_C","M_H",6,10,-1.50101405160959,10.0320102426988,0.164,0.164,"ns",13.9434362229185,0.504281249468805,14.324244872858,0.468837872883395,"Mineral",0.973415097736768,-0.0388729437956569,"C00212","Nucleic acids","Nucleosides","Ribonucleosides","none","none",0.380808649939528,"ns","H=C"
"16","adenosine","adenosine_O","count","O_C","O_H",6,5,0.157304203693388,4.79397134361409,0.881,0.881,"ns",13.2720089793383,0.437604929644027,13.1783952066703,1.26933665251552,"Organic",1.00710357909289,0.0102120699970431,"C00212","Nucleic acids","Nucleosides","Ribonucleosides","none","none",-0.0936137726679931,"ns","H=C"
"17","allantoin","allantoin_M","count","M_C","M_H",6,10,-0.12162097246562,9.47000167472051,0.906,0.906,"ns",12.0430484362735,2.36674930466269,12.1846668370426,2.05499380078634,"Mineral",0.988377326794147,-0.0168661790171328,"C01551",NA,NA,NA,NA,NA,0.141618400769138,"ns","H=C"
"18","allantoin","allantoin_O","count","O_C","O_H",6,5,0.606058413883828,7.53920428727079,0.562,0.562,"ns",15.7795297183454,0.701382124278542,15.4805169206737,0.898407865249475,"Organic",1.01931542720465,0.0276005626388293,"C01551",NA,NA,NA,NA,NA,-0.299012797671695,"ns","H=C"
"19","arbutin","arbutin_M","count","M_C","M_H",6,10,0.992577045439869,12.5942628427063,0.34,0.34,"ns",11.7392213902992,5.86721689147601,8.4333889777568,7.31793964941805,"Mineral",1.39199335181403,0.477152320864921,"C06186",NA,NA,NA,NA,NA,-3.30583241254238,"ns","H=C"
"20","arbutin","arbutin_O","count","O_C","O_H",6,5,2.97132556742124,4.66777522857192,0.034,0.034,"*",13.8020823726107,2.06886623984436,4.74894220713262,6.54592947209155,"Organic",2.90634877634029,1.53920784395609,"C06186",NA,NA,NA,NA,NA,-9.05314016547804,"*","H>C"
"21","beta- alanine","beta- alanine_M","count","M_C","M_H",6,10,1,5,0.363,0.363,"ns",2.35556662768889,5.7699362929663,0,0,"Mineral",Inf,Inf,"C00099","Peptides","Amino acids","Other amino acids","none","none",-2.35556662768889,"ns","H=C"
"22","beta- alanine","beta- alanine_O","count","O_C","O_H",6,5,2.7299237519842,8.85472668973044,0.024,0.024,"*",11.9466257771798,5.96156430913456,2.47350815462579,5.53093237664333,"Organic",4.82983076277231,2.27197263792508,"C00099","Peptides","Amino acids","Other amino acids","none","none",-9.47311762255402,"*","H>C"
